[Sep 15, 2018 02:49:50 0-message] [] Finished periodic housekeeping cleanup procedure.
[Sep 16, 2018 02:50:21 0-message] [] Starting periodic housekeeeping procedure for BackupBuddy v8.2.0.2.
[Sep 16, 2018 02:50:21 0-warning] [] Warning! BackupBuddy is configured to notify you if no new backups have completed in `10` days. It has been `663` days since your last completed backup.
[Sep 16, 2018 02:50:22 0-details] [] Sending email error notification with subject `BackupBuddy Error - https://mimoymima.com` to recipient(s): `brent@mimoymima.com`.
[Sep 16, 2018 02:50:27 0-details] [] Removing .htaccess high security mode for backups directory. Normal mode .htaccess to be added next.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up any importbuddy scripts in site root if it exists & is not very recent.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up importbuddy directory in site root if it exists & is not very recent.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up dat file if it exists in site root.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up stale fileoptions lock files.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up stale fileoptions lock files - found no lock files.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up any old temporary zip directories in: `/nfs/c05/h02/mnt/40749/domains/mimoymima.com/html/wp-content/uploads/backupbuddy_temp/`. If no recent backups then the temp directory will also be purged.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up any old temporary zip directories in backup directory temp location `/nfs/c05/h02/mnt/40749/domains/mimoymima.com/html/wp-content/uploads/backupbuddy_backups/temp_zip_XXXX/`.
[Sep 16, 2018 02:50:27 0-details] [] Cleaning up old backup fileoptions option files.
[Sep 16, 2018 02:50:27 0-details] [] Fileoptions instance #43.
[Sep 16, 2018 02:50:27 0-details] [] Created fileoptions lock file `01v7ixog5q.txt.lock` with ID: 5b9dc4f39fd072.25913272.
[Sep 16, 2018 02:50:27 0-details] [] Fileoptions load using 0.04 MB of memory.
[Sep 16, 2018 02:50:27 0-details] [] Fileoptions instance #43.
[Sep 16, 2018 02:50:27 0-details] [] Created fileoptions lock file `8omyvhoxgc.txt.lock` with ID: 5b9dc4f3c6e8a3.38360236.
[Sep 16, 2018 02:50:27 0-details] [] Fileoptions load using 0.05 MB of memory.
[Sep 16, 2018 02:50:27 0-details] [] Fileoptions instance #43.
[Sep 16, 2018 02:50:28 0-details] [] Created fileoptions lock file `8yqcazcxut.txt.lock` with ID: 5b9dc4f4000a48.76193779.
[Sep 16, 2018 02:50:28 0-details] [] Fileoptions load using 0.04 MB of memory.
